147,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
0,0,Start_Byte,8,-,0,Status,1,1,0,Type,Type 0=Primary 1 16=Fail Safe
1,uint8,OBC_boot_image,8,-,0,Status,1,6,0,Boot Image,OBC Boot Image
2,Uint32,On-board_time,32,-,2,Status,1,2,0,On-board time,On-board_time
3,Uint32,Uptime,32,s,0,Status,1,3,0,Uptime,Uptime
4,Uint32,Spacecraft_mode,3,-,4,Status,1,4,0,Spacecraft mode,Spacecraft_mode
5,Uint4,Seperation_sequence_state,4,-,0,Status,1,5,0,Seperation_sequence_state,Seperation_sequence_state
6,Bit4,Solar_array_deployment_state_0,4,-,6,Solar Array,3,6,0,Deployment state 0,Solar_array_deployment_state_0
7,Bit4,Solar_array_deployment_state_1,4,-,7,Solar Array,3,7,0,Deployment state 1,Solar_array_deployment_state_1
8,Bit4,Solar_array_deployment_state_2,4,-,8,Solar Array,3,8,0,Deployment state 2,Solar_array_deployment_state_2
9,Bit4,Solar_array_deployment_state_3,4,-,9,Solar Array,3,9,0,Deployment state 3,Solar_array_deployment_state_3
10,Bit16,Antenna_deployment_state_0,16,-,10,Antenna,8,1,0,Deployment state 0,Antenna_deployment_state_0
11,Bit16,Antenna_deployment_state_1,16,-,11,Antenna,8,2,0,Deployment state 1,Antenna_deployment_state_1
12,Bit16,Antenna_deployment_state_2,16,-,12,Antenna,8,3,0,Deployment state 2,Antenna_deployment_state_2
13,Bit16,Antenna_deployment_state_3,16,-,13,Antenna,8,4,0,Deployment state 3,Antenna_deployment_state_3
14,Bit16,Antenna_deployment_state_4,16,-,14,Antenna,8,5,0,Deployment state 4,Antenna_deployment_state_4
15,Bit16,Antenna_deployment_state_5,16,-,15,Antenna,8,6,0,Deployment state 5,Antenna_deployment_state_5
16,Bit16,Antenna_deployment_state_6,16,-,16,Antenna,8,7,0,Deployment state 6,Antenna_deployment_state_6
17,Bit16,Antenna_deployment_state_7,16,-,17,Antenna,8,8,0,Deployment state 7,Antenna_deployment_state_7
18,Uint8,ADM_soft_fire_counter,8,-,0,ADM,9,1,0,ADM soft fire counter,ADM_soft_fire_counter
